Manual_Feature,R2_mean,R2_std,N
perimeter_L3,0.7979342585645757,0.09367329496056384,916
centroid_radius_L3,0.7977852097087926,0.09516480180538031,916
min_distance_L3,0.784811013138863,0.09392388307405587,916
max_distance_L3,0.7587852564839471,0.08166803961721072,916
perimeter_L2,0.7532172039328963,0.11569223585216473,916
circularity_L2,0.7305387326217202,0.03288505914098798,916
centroid_radius_L2,0.726883515546035,0.12815756994065144,916
convexity_L2,0.7231813017695666,0.04192878544788256,916
solidity_L2,0.7231813017695665,0.04192878544788252,916
min_distance_L2,0.7171395041063703,0.11953522351947542,916
centroid_radius_L1,0.7077511184662327,0.09930351476300725,841
area_L3,0.7061683153023989,0.1729575478249565,916
perimeter_L1,0.7050044390250738,0.09013410429457917,841
max_distance_L2,0.680848454364795,0.12490008522976588,916
area_L1,0.5634453268336724,0.1659271854559224,841
area_L2,0.4678781356918151,0.12904496306369262,916
max_distance_L1,0.4519509772974839,0.16354563884304682,841
convexity_L1,0.34634049309116,0.11738212486324025,841
solidity_L1,0.3463404930911597,0.11738212486324055,841
circularity_L1,0.3276810445448087,0.10586381433988401,840
solidity_L3,0.2943813873591582,0.0638739418356778,916
convexity_L3,0.2943813873591571,0.0638739418356773,916
circularity_L3,0.22776481062373816,0.13669216765047185,916
curvature_L1,0.18664357503469908,0.06278633304874957,838
eccentricity_L1,0.15669504417339458,0.08372687821778706,841
Elongation_L1,0.11703481285609432,0.15262848190117134,840
eccentricity_L2,0.023289784367207654,0.05695720339628894,916
eccentricity_L3,0.007503835923545843,0.06260534161471581,916
curvature_L3,-0.03308957790644649,0.05554106706823873,916
Elongation_L3,-0.03811587150275038,0.1125806652965343,916
Elongation_L2,-0.038835681196702956,0.12476967248076425,916
curvature_L2,-0.061370323472232216,0.13185573818518498,916
min_distance_L1,-1.1018125890548984,0.9959886383757702,841
